N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
138,현대해상,"25,950",100,+0.39%,500,"23,199","89,400",27.87,"423,543",6.27,7.13,
139,현대위아,"84,700",600,+0.71%,"5,000","23,034","27,195",8.26,"156,097",22.67,1.96,
140,하이트진로,"32,450",150,+0.46%,"5,000","22,758","70,134",5.44,"210,400",32.48,8.23,
141,TIGER 200,"41,445",160,+0.39%,0,"22,753","54,900",0.00,"601,034",N/A,N/A,
142,대한전선,"2,505",60,+2.45%,500,"21,455","856,473",2.59,"14,851,628",-131.84,0.92,
143,LS,"65,900",100,+0.15%,"5,000","21,220","32,200",14.72,"79,089",8.55,3.94,
144,코오롱인더,"77,300","1,300",+1.71%,"5,000","20,855","26,979",21.01,"177,843",15.48,9.70,
145,대웅,"35,400",300,+0.85%,500,"20,582","58,142",3.93,"155,911",23.92,15.10,
146,현대엘리베이,"50,300",400,+0.80%,"5,000","20,530","40,815",27.93,"172,443",18.34,9.78,
147,KODEX 단기채권,"102,835",25,-0.02%,0,"20,341","19,780",0.00,"8,541",N/A,N/A,
148,대웅제약,"166,500","1,000",-0.60%,"2,500","19,292","11,587",7.12,"65,223",-174.89,2.38,
149,LS ELECTRIC,"64,000","1,000",-1.54%,"5,000","19,200","30,000",17.02,"70,501",20.93,6.15,
150,오뚜기,"521,000","7,000",-1.33%,"5,000","19,131","3,672",12.69,"2,601",19.76,7.93,
151,롯데렌탈,"52,200","3,000",+6.10%,"5,000","19,123","36,634",1.25,"2,260,497",26.65,6.73,
152,프레스티지바이오파마,"31,800",700,+2.25%,0,"19,111","60,096",64.00,"483,689",-94.64,N/A,
153,동국제강,"19,950",300,+1.53%,"5,000","19,039","95,433",23.55,"1,844,016",9.04,3.35,
154,KODEX 200선물인버스2X,"2,060",10,-0.48%,0,"19,024","923,500",3.37,"181,776,770",N/A,N/A,
155,HDC현대산업개발,"28,600",100,-0.35%,"5,000","18,849","65,907",11.23,"258,909",9.11,8.85,
156,솔루스첨단소재,"61,300",100,+0.16%,100,"18,752","30,590",8.07,"295,136",-169.34,-5.10,
157,현대백화점,"79,100",200,-0.25%,"5,000","18,511","23,402",19.12,"79,908",18.99,1.65,
158,영원무역,"41,500",450,+1.10%,500,"18,389","44,311",27.79,"156,773",9.82,8.03,
159,KODEX 레버리지,"26,075",185,+0.71%,0,"18,357","70,400",1.12,"19,433,758",N/A,N/A,
160,농심,"301,000","3,500",-1.15%,"5,000","18,309","6,083",14.26,"19,080",16.53,7.50,
161,TIGER 차이나전기차SOLACTIVE,"17,775",15,-0.08%,0,"18,287","102,880",3.25,"4,723,788",N/A,N/A,
162,한전기술,"46,300",800,-1.70%,200,"17,696","38,220",2.89,"143,484",85.58,N/A,
163,PI첨단소재,"59,900","1,400",+2.39%,500,"17,590","29,366",18.56,"234,204",32.22,15.62,
164,롯데정밀화학,"67,800","1,300",+1.95%,"5,000","17,492","25,800",19.71,"151,941",7.13,12.65,
165,금호타이어,"6,060",120,+2.02%,"5,000","17,408","287,260",4.41,"689,293",-114.34,-6.74,
166,KODEX 삼성그룹,"10,410",40,+0.39%,0,"17,270","165,900",0.03,"231,700",N/A,N/A,
167,한미반도체,"34,850",450,+1.31%,200,"17,237","49,460",7.61,"687,288",23.23,21.03,
168,한전KPS,"37,300",400,-1.06%,200,"16,785","45,000",9.39,"86,372",15.55,8.23,
169,한국앤컴퍼니,"17,200",300,-1.71%,500,"16,329","94,935",9.73,"113,113",7.93,5.08,
170,진원생명과학,"35,700",400,-1.11%,"1,000","16,140","45,212",15.26,"1,444,478",-74.84,-30.43,
171,부광약품,"22,550","2,200",+10.81%,500,"16,025","71,063",3.75,"13,246,645",-142.72,-2.46,
172,JB금융지주,"8,080",160,+2.02%,"5,000","15,916","196,983",40.69,"877,527",3.99,10.06,
173,DGB금융지주,"9,240",100,+1.09%,"5,000","15,629","169,146",49.26,"332,470",4.25,6.93,
174,아시아나항공,"20,900",800,+3.98%,"5,000","15,552","74,412",21.04,"4,316,312",-23.17,-43.83,
175,명신산업,"29,450",200,-0.67%,500,"15,452","52,470",1.93,"787,909",-12.77,-67.39,
176,아이에스동서,"48,900",700,-1.41%,500,"15,106","30,893",4.51,"52,592",11.82,10.92,
177,KG동부제철,"15,050",50,+0.33%,"5,000","15,051","100,009",1.60,"221,575",12.31,7.18,
178,DL,"71,600",200,+0.28%,"5,000","15,004","20,956",14.82,"57,084",2.31,11.84,
179,두산,"90,000",700,-0.77%,"5,000","14,871","16,524",12.00,"49,362",-147.30,-34.34,
180,대한유화,"228,000","6,000",+2.70%,"5,000","14,820","6,500",13.82,"71,407",6.38,6.93,
181,녹십자홀딩스,"31,300",100,+0.32%,500,"14,720","47,028",5.29,"115,384",8.31,19.74,
182,종근당,"127,000",0,0.00%,"2,500","14,511","11,426",7.91,"23,790",17.05,17.88,
183,KODEX 단기채권PLUS,"103,160",15,-0.01%,0,"14,318","13,879",0.00,"1,785,494",N/A,N/A,
184,한일시멘트,"204,500","2,500",+1.24%,"5,000","14,164","6,926",2.55,"29,761",11.76,N/A,
185,롯데리츠,"5,800",40,+0.69%,500,"14,092","242,969",10.53,"215,985",33.72,1.83,
186,LG생활건강우,"670,000","7,000",-1.03%,"5,000","14,068","2,100",84.53,"4,324",14.07,N/A,
187,코스맥스,"123,000","1,000",-0.81%,500,"13,960","11,350",24.55,"35,717",28.50,6.23,
188,신세계인터내셔날,"195,500","6,000",+3.17%,"5,000","13,959","7,140",5.44,"33,189",19.26,8.24,
189,KODEX 종합채권(AA-이상)액티브,"109,665",65,-0.06%,0,"13,875","12,652",0.00,"6,681",N/A,N/A,
190,솔루엠,"27,800",600,+2.21%,500,"13,846","49,806",8.26,"735,716",34.79,43.26,
191,후성,"14,900",300,+2.05%,500,"13,798","92,607",7.04,"4,033,555",392.11,2.79,
192,NHN,"69,800",200,+0.29%,500,"13,656","19,565",12.63,"34,145",50.95,1.35,
193,SK네트웍스,"5,490",60,-1.08%,"2,500","13,626","248,188",12.99,"454,121",37.35,1.63,
194,코스모신소재,"43,600",100,+0.23%,"1,000","13,118","30,087",8.45,"1,102,055",69.10,7.16,
195,TIGER TOP10,"14,310",25,+0.18%,0,"13,086","91,450",0.16,"126,022",N/A,N/A,
196,롯데칠성,"141,000","3,000",+2.17%,500,"13,083","9,279",8.83,"49,946",57.43,-1.00,
197,롯데관광개발,"18,850",200,+1.07%,500,"13,058","69,276",6.76,"597,079",-8.35,-30.43,
198,에스엘,"27,050",450,+1.69%,500,"13,039","48,203",17.49,"158,572",11.81,4.74,
199,동원시스템즈,"50,400","2,000",-3.82%,"5,000","12,912","25,619",1.43,"190,330",23.95,10.97,
200,지누스,"81,100",200,-0.25%,500,"12,814","15,800",22.31,"38,562",33.88,11.61,
